Source_Category,Source_Node,Target_Category,Target_Node,Topological_Score,Cooccurrence_Score,Bridge_Bonus,Predicted_Link_Strength
Material,lce-metamaterial-composites,Application,energy-harvesting,2,0.0,1.0,5.0
Material,fe3o4-nanoparticles,Application,microrobotics,2,-0.49,1.0,5.0
Material,metals,Application,microrobotics,2,-0.707,1.0,5.0
Material,fe3o4-nanoparticles,Application,active-matter-research--control,2,0.0,1.0,5.0
Phenomenon,stimuli-responsive-property-switching,Method,thermal-analysis-dsc,2,0.98,0.0,4.98
Theory,quantum-mechanics,Mechanism,optical-transduction,2,0.896,0.0,4.896
Method,spectroscopy,Application,biosensing,2,0.87,0.0,4.87
Phenomenon,stimuli-responsive-property-switching,Method,spectroscopy,2,0.87,0.0,4.87
Theory,liquid-crystal-theory,Phenomenon,stimuli-responsive-property-switching,2,0.849,0.0,4.849
Phenomenon,bio-inspired-actuation,Method,3d-printing-additive-manufacturing,2,0.822,0.0,4.822
Phenomenon,stimuli-responsive-property-switching,Application,structural-health-monitoring,2,0.822,0.0,4.822
Phenomenon,photosynthesis,Method,spectroscopy,2,0.804,0.0,4.804
Mechanism,irreversible-state-change-memory,Application,structural-health-monitoring,2,0.783,0.0,4.783
Theory,physical-intelligence-pi,Material,elastomers-general,2,0.779,0.0,4.779
Mechanism,unsupervised-correlation-learning-algorithms,Application,neuromorphic-computing--hardware,2,0.775,0.0,4.775
Method,soft-lithography,Application,soft-robotics,2,0.775,0.0,4.775
Phenomenon,stimuli-responsive-property-switching,Method,thermomechanical-programming,2,0.775,0.0,4.775
Theory,liquid-crystal-theory,Method,spectroscopy,2,0.739,0.0,4.739
Theory,physical-intelligence-pi,Material,nematic-lcs,2,0.707,0.0,4.707
Theory,continuum-mechanics,Phenomenon,velocity-fields,2,0.707,0.0,4.707
Phenomenon,classification--regression-performance,Method,backpropagation-and-training,2,0.696,0.0,4.696
Theory,magnetic-field-theory,Method,external-field-control,2,0.696,0.0,4.696
Mechanism,electrical-ionic-transduction,Application,bioelectronics,2,0.674,0.0,4.674
Mechanism,electrical-ionic-transduction,Application,flexible-electronics,2,0.674,0.0,4.674
Phenomenon,synaptic-plasticity-emulation,Material,conductive-filler-composites,2,0.674,0.0,4.674
Theory,magnetic-field-theory,Mechanism,phase-conformation-memory,2,0.664,0.0,4.664
Mechanism,optical-transduction,Phenomenon,enhanced-physical-properties,2,0.664,0.0,4.664
Mechanism,mechanical-transduction,Material,granular-media,2,0.664,0.0,4.664
Method,electrical-measurements,Application,structural-health-monitoring,2,0.656,0.0,4.656
Phenomenon,information-thermodynamics-effects,Material,granular-media,2,0.632,0.0,4.632
Phenomenon,quantum-coherent-effects,Method,quantum-simulation,2,0.632,0.0,4.632
Theory,active-inference-fep,Phenomenon,classification--regression-performance,2,0.625,0.0,4.625
Theory,network-theory,Phenomenon,criticality--phase-transitions,2,0.591,0.0,4.591
Theory,physical-intelligence-pi,Material,mechanical-metamaterials,2,0.567,0.0,4.567
Mechanism,reservoir-computing,Application,flexible-electronics,2,0.566,0.0,4.566
Theory,liquid-crystal-theory,Phenomenon,reaction-diffusion-systems,2,0.554,0.0,4.554
Mechanism,electrical-ionic-transduction,Application,microrobotics,2,0.533,0.0,4.533
Phenomenon,manipulation-grasping-transport-release,Material,elastomers-general,2,0.533,0.0,4.533
Method,composite-fabrication,Application,soft-robotics,2,0.5,0.0,4.5
Mechanism,equilibrium-self-assembly,Material,block-copolymers,2,0.44,0.0,4.44
Theory,continuum-mechanics,Phenomenon,stimuli-responsive-property-switching,2,0.438,0.0,4.438
Method,particle-cell-tracking-analysis,Material,emulsion-droplets,2,0.438,0.0,4.438
Phenomenon,collective-decision-making,Method,agent-based-modeling-abm,2,0.433,0.0,4.433
Phenomenon,manipulation-grasping-transport-release,Material,shape-memory-polymers-smps,2,0.426,0.0,4.426
Phenomenon,chemotaxis--taxis-behaviors,Method,spectroscopy,2,0.426,0.0,4.426
Phenomenon,controlled-locomotion--navigation,Material,active-matter-fluids,2,0.422,0.0,4.422
Mechanism,resistance-switching-memristance,Method,electrical-measurements,2,0.419,0.0,4.419
Mechanism,equilibrium-self-assembly,Application,nanotechnology--micro-assembly,2,0.417,0.0,4.417
Phenomenon,photodetection-qe,Method,spectroscopy,2,0.405,0.0,4.405
Phenomenon,synaptic-plasticity-emulation,Application,flexible-electronics,2,0.405,0.0,4.405
Theory,thermodynamic-uncertainty-relations,Phenomenon,ness-states,2,0.367,0.0,4.367
Mechanism,supervised-learning-algorithms,Application,neuromorphic-computing--hardware,2,0.367,0.0,4.367
Theory,thermodynamics-of-information,Phenomenon,ness-states,2,0.359,0.0,4.359
Mechanism,equilibrium-self-assembly,Method,dna-directed-assembly,2,0.359,0.0,4.359
Theory,liquid-crystal-theory,Application,structural-health-monitoring,1,0.839,1.5,4.339
Phenomenon,autonomous-self-propulsion,Material,metals,2,0.316,0.0,4.316
Mechanism,collective-swarm-computation,Material,active-matter-fluids,2,0.302,0.0,4.302
Theory,active-inference-fep,Application,neuromorphic-computing--hardware,1,0.801,1.5,4.301
Theory,continuum-mechanics,Method,soft-lithography,2,0.283,0.0,4.283
Phenomenon,periodic-pattern-formation,Material,aqueous-electrolytes,2,0.283,0.0,4.283
Phenomenon,periodic-pattern-formation,Material,wave-propagation-media,2,0.283,0.0,4.283
Phenomenon,periodic-pattern-formation,Method,dissipative-particle-dynamics-dpd,2,0.283,0.0,4.283
Phenomenon,reaction-diffusion-systems,Material,nematic-lcs,2,0.27,0.0,4.27
Theory,magnetic-field-theory,Phenomenon,reaction-diffusion-systems,2,0.27,0.0,4.27
Theory,quantum-mechanics,Mechanism,optical-response,2,0.224,0.0,4.224
Phenomenon,autonomous-self-propulsion,Material,fe3o4-nanoparticles,2,0.219,0.0,4.219
Mechanism,neuromorphic-computation,Phenomenon,memristance,2,0.198,0.0,4.198
Mechanism,mechanical-transduction,Method,composite-fabrication,2,0.189,0.0,4.189
Theory,quantum-mechanics,Application,unconventional--physical-computing,1,0.674,1.5,4.174
Mechanism,mechanical-actuation,Phenomenon,stimuli-responsive-property-switching,2,0.169,0.0,4.169
Mechanism,unsupervised-correlation-learning-algorithms,Material,memristors,2,0.141,0.0,4.141
Phenomenon,collective-motion--phase-behavior,Material,granular-media,2,0.141,0.0,4.141
Phenomenon,autonomous-self-propulsion,Material,granular-media,2,0.141,0.0,4.141
Theory,thermodynamics-of-information,Material,granular-media,2,0.139,0.0,4.139
Theory,collective-intelligence-conceptual,Application,structural-health-monitoring,1,0.636,1.5,4.136
Mechanism,driven-by-physical-forces-dynamics,Material,nematic-lcs,2,0.131,0.0,4.131
Method,external-field-control,Material,silicon-si-and-porous-silicon-psi,2,0.108,0.0,4.108
Mechanism,reservoir-computing,Application,neuromorphic-computing--hardware,2,0.055,0.0,4.055
Method,spectroscopy,Material,silicon-si-and-porous-silicon-psi,2,0.017,0.0,4.017
Phenomenon,short-term-memory,Method,time-series-analysis,2,0.0,0.0,4.0
Phenomenon,manipulation-grasping-transport-release,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Phenomenon,manipulation-grasping-transport-release,Material,active-matter-fluids,2,0.0,0.0,4.0
Phenomenon,bio-inspired-actuation,Material,elastomers-general,2,-0.111,0.0,4.0
Method,electrical-measurements,Application,neural-interfaces,2,0.0,0.0,4.0
Phenomenon,autonomous-self-propulsion,Material,mechanical-metamaterials,2,-0.183,0.0,4.0
Mechanism,irreversible-state-change-memory,Application,sensing-general,2,-0.316,0.0,4.0
Mechanism,unsupervised-correlation-learning-algorithms,Application,materials-discovery--design,2,0.0,0.0,4.0
Mechanism,cellular-tissue-plasticity,Application,tissue-engineering,2,0.0,0.0,4.0
Phenomenon,chemotaxis--taxis-behaviors,Application,microrobotics,2,-0.25,0.0,4.0
Mechanism,electrical-ionic-transduction,Phenomenon,photodetection-qe,2,-0.539,0.0,4.0
Phenomenon,autonomous-self-propulsion,Material,active-matter-fluids,2,-0.738,0.0,4.0
Phenomenon,collective-motion--phase-behavior,Method,langevin-dynamics,2,-0.566,0.0,4.0
Material,ion-exchange-polymer-nafion,Application,reconfigurable-systems--modular-robotics,1,1.0,1.0,4.0
Phenomenon,stimuli-responsive-property-switching,Material,btf-interface,2,-0.49,0.0,4.0
Phenomenon,stimuli-responsive-property-switching,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Phenomenon,self-amputation,Material,pnipam-networks-in-ionic-liquid,2,-0.316,0.0,4.0
Method,quantum-simulation,Application,quantum-technologies,2,0.0,0.0,4.0
Method,thermomechanical-programming,Application,reconfigurable-systems--modular-robotics,2,-0.2,0.0,4.0
Theory,liquid-crystal-theory,Material,chemical-oscillators,2,0.0,0.0,4.0
Phenomenon,velocity-fields,Material,catalytic-particles,2,-0.31,0.0,4.0
Theory,thermodynamic-uncertainty-relations,Material,granular-media,2,-0.316,0.0,4.0
Method,artificial-neural-networks,Application,neuromorphic-computing--hardware,2,0.0,0.0,4.0
Method,network-modeling,Application,neuromorphic-computing--hardware,2,-0.48,0.0,4.0
Theory,continuum-mechanics,Material,photomechanochromic-polymers,2,-0.23,0.0,4.0
Mechanism,chemical-transduction,Application,bioengineering--biomedical-devices,2,0.0,0.0,4.0
Phenomenon,stimuli-responsive-property-switching,Application,reconfigurable-systems--modular-robotics,2,-0.31,0.0,4.0
Theory,statistical-mechanics--stochastic-thermodynamics,Material,catalytic-particles,2,-0.359,0.0,4.0
Mechanism,energy-flow-dissipation,Phenomenon,statistical-inference-computations,2,-0.539,0.0,4.0
Theory,physical-intelligence-pi,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Theory,continuum-mechanics,Material,liquid-crystal-elastomers-lces,2,-0.516,0.0,4.0
Theory,continuum-mechanics,Material,active-matter-fluids,2,-0.949,0.0,4.0
Theory,liquid-crystal-theory,Material,ion-exchange-polymer-nafion,2,0.0,0.0,4.0
Method,polymer-synthesis-processing,Material,silicon-si-and-porous-silicon-psi,2,-0.31,0.0,4.0
Method,polymer-synthesis-processing,Material,nematic-lcs,2,-0.2,0.0,4.0
Mechanism,immune-system-adaptation,Method,information-theory-metrics,2,-0.2,0.0,4.0
Mechanism,energy-flow-dissipation,Material,pnipam-networks-in-ionic-liquid,2,-0.426,0.0,4.0
Mechanism,energy-flow-dissipation,Material,shape-memory-polymers-smps,2,-0.045,0.0,4.0
Theory,liquid-crystal-theory,Method,spectroscopic-techniques,2,0.0,0.0,4.0
Theory,statistical-mechanics--stochastic-thermodynamics,Material,active-matter-fluids,2,-0.311,0.0,4.0
Theory,liquid-crystal-theory,Material,microtubules,2,0.0,0.0,4.0
Theory,magnetic-field-theory,Material,active-matter-fluids,2,-0.447,0.0,4.0
Phenomenon,reservoir-computing-dynamics,Method,time-series-analysis,2,0.0,0.0,4.0
Method,finite-element-method-femfea,Material,elastomers-general,2,-0.426,0.0,4.0
Method,finite-element-method-femfea,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Theory,magnetic-field-theory,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Method,finite-element-method-femfea,Material,phase-change-composites,2,-0.5,0.0,4.0
Phenomenon,classification--regression-performance,Application,unconventional--physical-computing,2,-0.417,0.0,4.0
Phenomenon,associative-memory--pattern-completion,Method,network-modeling,2,-0.201,0.0,4.0
Mechanism,electrical-ionic-transduction,Application,neuromorphic-computing--hardware,2,-0.348,0.0,4.0
Phenomenon,quantum-coherent-effects,Application,quantum-technologies,2,0.0,0.0,4.0
Phenomenon,velocity-fields,Application,active-matter-research--control,2,0.0,0.0,4.0
Method,thermal-analysis-dsc,Material,btf-interface,2,-0.5,0.0,4.0
Mechanism,energy-flow-dissipation,Method,information-theory-metrics,2,0.0,0.0,4.0
Method,polymer-synthesis-processing,Material,mechanical-metamaterials,2,-0.566,0.0,4.0
Method,langevin-dynamics,Material,granular-media,2,-0.2,0.0,4.0
Method,dissipative-particle-dynamics-dpd,Material,aqueous-electrolytes,2,-0.2,0.0,4.0
Phenomenon,damage-self-reporting,Application,sensing-general,2,-0.31,0.0,4.0
Theory,magnetic-field-theory,Material,metals,2,-0.447,0.0,4.0
Phenomenon,shape-memory-effect,Application,reconfigurable-systems--modular-robotics,2,-0.31,0.0,4.0
Phenomenon,habituation--sensory-adaptation,Application,neuromorphic-computing--hardware,2,-0.31,0.0,4.0
Phenomenon,self-amputation,Material,fe3o4-nanoparticles,2,-0.31,0.0,4.0
Phenomenon,ness-states,Material,granular-media,2,-0.31,0.0,4.0
Method,evaporation-driven-assembly,Material,fe3o4-nanoparticles,2,-0.31,0.0,4.0
Method,evaporation-driven-assembly,Material,mechanical-metamaterials,2,-0.566,0.0,4.0
Mechanism,bayesian-inference-probabilistic-computation,Method,information-theory-metrics,2,0.0,0.0,4.0
Mechanism,electrical-response,Method,information-theory-metrics,2,-0.424,0.0,4.0
Mechanism,driven-by-thermodynamic-statistical-principles,Material,pnipam-networks-in-ionic-liquid,2,0.0,0.0,4.0
Method,3d-printing-additive-manufacturing,Application,bioengineering--biomedical-devices,2,0.0,0.0,4.0
Method,3d-printing-additive-manufacturing,Application,unconventional--physical-computing,2,-0.31,0.0,4.0
Method,neuroimaging,Application,neuromorphic-computing--hardware,2,0.0,0.0,4.0
Mechanism,energy-flow-dissipation,Material,piezoresistive-composites,2,-0.826,0.0,4.0
Mechanism,energy-flow-dissipation,Material,phase-change-composites,2,-0.426,0.0,4.0
Method,polymer-synthesis-processing,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Method,spectroscopic-techniques,Material,nematic-lcs,2,0.0,0.0,4.0
Method,external-field-control,Material,ion-exchange-polymer-nafion,2,-0.417,0.0,4.0
Method,external-field-control,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Method,spectroscopy,Material,ion-exchange-polymer-nafion,2,-0.539,0.0,4.0
Theory,statistical-mechanics--stochastic-thermodynamics,Phenomenon,clustering--aggregation--phase-separation,2,-0.23,0.0,4.0
Method,neuroimaging,Material,conductive-filler-composites,2,0.0,0.0,4.0
Mechanism,optical-response,Material,chemical-oscillators,2,-0.531,0.0,4.0
Mechanism,optical-response,Material,plasmonics-metamaterials,2,-0.84,0.0,4.0
Method,3d-printing-additive-manufacturing,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Method,polymer-synthesis-processing,Material,elastomers-general,2,-0.539,0.0,4.0
Method,polymer-synthesis-processing,Material,phase-change-composites,2,-0.316,0.0,4.0
Mechanism,criticality-driven-organization,Method,time-series-analysis,2,0.0,0.0,4.0
Theory,thermodynamic-uncertainty-relations,Phenomenon,information-thermodynamics-effects,2,-0.5,0.0,4.0
Mechanism,optical-response,Material,graphene--2d-materials,2,-0.448,0.0,4.0
Theory,continuum-mechanics,Method,3d-printing-additive-manufacturing,2,-0.018,0.0,4.0
Mechanism,magnetic-transduction,Method,magnetic-measurements,2,0.0,0.0,4.0
Mechanism,optical-response,Material,self-assembling-peptides,2,-0.493,0.0,4.0
Mechanism,electrical-ionic-transduction,Method,thin-film-deposition-pvd-cvd-etc,2,0.0,0.0,4.0
Mechanism,immune-system-adaptation,Phenomenon,dissipation-accuracy-tradeoff,2,-0.316,0.0,4.0
Mechanism,immune-system-adaptation,Phenomenon,learning--adaptive-behavior,2,-0.31,0.0,4.0
Method,3d-printing-additive-manufacturing,Material,phase-change-composites,2,-0.49,0.0,4.0
Theory,statistical-mechanics--stochastic-thermodynamics,Phenomenon,autonomous-self-propulsion,2,-0.23,0.0,4.0
Method,spectroscopy,Material,lce-metamaterial-composites,2,0.0,0.0,4.0
Method,composite-fabrication,Application,sensing-general,2,-0.31,0.0,4.0
Method,spectroscopy,Material,nematic-lcs,2,0.0,0.0,4.0
Method,spectroscopic-techniques,Application,biosensing,2,0.0,0.0,4.0
Method,thin-film-deposition-pvd-cvd-etc,Application,neural-interfaces,2,0.0,0.0,4.0
Phenomenon,chemotaxis--taxis-behaviors,Material,ion-exchange-polymer-nafion,2,-0.632,0.0,4.0
Phenomenon,reaction-diffusion-systems,Method,chemical-pathway-network-modeling,2,-0.104,0.0,4.0
Method,soft-lithography,Application,bioengineering--biomedical-devices,2,0.0,0.0,4.0
Mechanism,criticality-driven-organization,Phenomenon,self-assembly-and-pattern-formation,2,-0.31,0.0,4.0
Phenomenon,self-amputation,Material,mechanical-metamaterials,2,-0.566,0.0,4.0
Phenomenon,chemotaxis--taxis-behaviors,Application,active-matter-research--control,2,0.0,0.0,4.0
Phenomenon,self-amputation,Material,shape-memory-polymers-smps,2,-0.539,0.0,4.0
Phenomenon,self-amputation,Material,phase-change-composites,2,-0.316,0.0,4.0
Method,colloidal-synthesis-assembly,Material,block-copolymers,2,-0.49,0.0,4.0
Theory,liquid-crystal-theory,Application,soft-robotics,1,0.495,1.5,3.995
Material,plasmonics-metamaterials,Application,neuromorphic-computing--hardware,1,0.98,1.0,3.98
Theory,collective-intelligence-conceptual,Application,reconfigurable-systems--modular-robotics,1,0.405,1.5,3.905
Material,photomechanochromic-polymers,Application,neuromorphic-computing--hardware,1,0.826,1.0,3.826
Theory,network-theory,Application,structural-health-monitoring,1,0.302,1.5,3.802
Material,shape-memory-polymers-smps,Application,neuromorphic-computing--hardware,1,0.783,1.0,3.783
Theory,continuum-mechanics,Application,flexible-electronics,1,0.283,1.5,3.783
Material,ion-exchange-polymer-nafion,Application,neuromorphic-computing--hardware,1,0.775,1.0,3.775
Theory,statistical-mechanics--stochastic-thermodynamics,Application,artificial-cells--protocells,1,0.22,1.5,3.72
Theory,continuum-mechanics,Application,structural-health-monitoring,1,0.183,1.5,3.683
Material,mechanical-metamaterials,Application,neuromorphic-computing--hardware,1,0.657,1.0,3.657
Theory,assembly-theory-at,Application,nanotechnology--micro-assembly,1,0.141,1.5,3.641
Material,chemical-oscillators,Application,artificial-cells--protocells,1,0.632,1.0,3.632
Material,plasmonics-metamaterials,Application,nanotechnology--micro-assembly,1,0.632,1.0,3.632
Material,ion-exchange-polymer-nafion,Application,microrobotics,1,0.632,1.0,3.632
Material,liquid-crystal-elastomers-lces,Application,unconventional--physical-computing,1,0.548,1.0,3.548
Theory,magnetic-field-theory,Application,reconfigurable-systems--modular-robotics,1,-0.2,1.5,3.5
Theory,continuum-mechanics,Application,lab-on-a-chip--microfluidics-applications,1,0.0,1.5,3.5
Theory,continuum-mechanics,Application,tissue-engineering,1,0.0,1.5,3.5
Theory,physical-intelligence-pi,Application,soft-robotics,1,-0.657,1.5,3.5
Theory,basal-minimal-cognition-conceptual,Application,tissue-engineering,1,0.0,1.5,3.5
Theory,continuum-mechanics,Application,active-matter-research--control,1,0.0,1.5,3.5
Theory,continuum-mechanics,Application,energy-harvesting,1,0.0,1.5,3.5
Theory,continuum-mechanics,Application,microrobotics,1,-0.112,1.5,3.5
Theory,network-theory,Application,active-matter-research--control,1,0.0,1.5,3.5
Theory,control-theory,Application,tissue-engineering,1,0.0,1.5,3.5
Theory,magnetic-field-theory,Application,active-matter-research--control,1,0.0,1.5,3.5
Theory,active-inference-fep,Application,flexible-electronics,1,-0.539,1.5,3.5
Material,lipid-bilayers,Application,nanotechnology--micro-assembly,1,0.465,1.0,3.465
Material,colloidal-particles,Application,data-storage,1,0.465,1.0,3.465
Material,wave-propagation-media,Application,neuromorphic-computing--hardware,1,0.465,1.0,3.465
Material,emulsion-droplets,Application,nanotechnology--micro-assembly,1,0.465,1.0,3.465
Material,silicon-si-and-porous-silicon-psi,Application,nanotechnology--micro-assembly,1,0.465,1.0,3.465
Material,active-matter-fluids,Application,reconfigurable-systems--modular-robotics,1,0.447,1.0,3.447
Material,mechanical-metamaterials,Application,unconventional--physical-computing,1,0.424,1.0,3.424
Material,mechanical-metamaterials,Application,reconfigurable-systems--modular-robotics,1,0.424,1.0,3.424
Material,btf-interface,Application,neuromorphic-computing--hardware,1,0.367,1.0,3.367
Material,microtubules,Application,structural-health-monitoring,1,0.283,1.0,3.283
Material,other-nanoparticles,Application,unconventional--physical-computing,1,0.283,1.0,3.283
Material,iontronic-devices,Application,unconventional--physical-computing,1,0.283,1.0,3.283
Material,ferrofluids,Application,reconfigurable-systems--modular-robotics,1,0.283,1.0,3.283
Material,iontronic-devices,Application,nanotechnology--micro-assembly,1,0.283,1.0,3.283
Material,graphene--2d-materials,Application,nanotechnology--micro-assembly,1,0.27,1.0,3.27
Material,btf-interface,Application,microrobotics,1,0.25,1.0,3.25
Material,block-copolymers,Application,artificial-cells--protocells,1,0.25,1.0,3.25
Material,silicon-si-and-porous-silicon-psi,Application,biosensing,1,0.22,1.0,3.22
Material,memristors,Application,nanotechnology--micro-assembly,1,0.141,1.0,3.141
Material,phase-change-composites,Application,neuromorphic-computing--hardware,1,0.122,1.0,3.122
Material,colloidal-particles,Application,microrobotics,1,0.122,1.0,3.122
Material,emulsion-droplets,Application,microrobotics,1,0.122,1.0,3.122
Material,shape-memory-polymers-smps,Application,microrobotics,1,0.107,1.0,3.107
Material,conductive-polymers,Application,neuromorphic-computing--hardware,1,0.02,1.0,3.02
Material,fe3o4-nanoparticles,Application,neuromorphic-computing--hardware,1,0.02,1.0,3.02
Phenomenon,short-term-memory,Material,wave-propagation-media,1,1.0,0.0,3.0
Material,elastomers-general,Application,bioelectronics,1,-0.539,1.0,3.0
Material,shape-memory-polymers-smps,Application,active-matter-research--control,1,0.0,1.0,3.0
Theory,magnetic-field-theory,Method,polymer-synthesis-processing,1,1.0,0.0,3.0
Material,pnipam-networks-in-ionic-liquid,Application,microrobotics,1,-0.5,1.0,3.0
Material,pnipam-networks-in-ionic-liquid,Application,energy-harvesting,1,0.0,1.0,3.0
Material,microtubules,Application,quantum-technologies,1,0.0,1.0,3.0
Material,oxides,Application,nanotechnology--micro-assembly,1,-0.2,1.0,3.0
Material,emulsion-droplets,Application,bioengineering--biomedical-devices,1,0.0,1.0,3.0
Material,molecular-force-fields,Application,active-matter-research--control,1,0.0,1.0,3.0
Material,microtubules,Application,biosensing,1,-0.31,1.0,3.0
Material,silicon-si-and-porous-silicon-psi,Application,flexible-electronics,1,-0.31,1.0,3.0
Method,backpropagation-and-training,Material,conductive-filler-composites,1,1.0,0.0,3.0
Phenomenon,statistical-inference-computations,Method,backpropagation-and-training,1,1.0,0.0,3.0
Phenomenon,reservoir-computing-dynamics,Material,wave-propagation-media,1,1.0,0.0,3.0
Phenomenon,statistical-inference-computations,Material,conductive-filler-composites,1,1.0,0.0,3.0
Material,quantum-dots,Application,energy-harvesting,1,0.0,1.0,3.0
Phenomenon,surface-topography-patterning,Method,evaporation-driven-assembly,1,1.0,0.0,3.0
Material,microcapsule-composites,Application,soft-robotics,1,-0.574,1.0,3.0
Material,microcapsule-composites,Application,bioengineering--biomedical-devices,1,0.0,1.0,3.0
Material,quantum-dots,Application,nanotechnology--micro-assembly,1,-0.2,1.0,3.0
Material,quantum-dots,Application,structural-health-monitoring,1,-0.424,1.0,3.0
Material,photomechanochromic-polymers,Application,microrobotics,1,0.0,1.0,3.0
Material,microcapsule-composites,Application,biosensing,1,-0.313,1.0,3.0
Material,microcapsule-composites,Application,energy-harvesting,1,0.0,1.0,3.0
Material,microcapsule-composites,Application,lab-on-a-chip--microfluidics-applications,1,0.0,1.0,3.0
Material,microcapsule-composites,Application,unconventional--physical-computing,1,-0.135,1.0,3.0
Material,quantum-dots,Application,biosensing,1,-0.31,1.0,3.0
Material,phase-change-composites,Application,active-matter-research--control,1,0.0,1.0,3.0
