Concept,Influence_PageRank,Interdisciplinarity_Entropy,Category
thermodynamic-uncertainty-relations,0.003878377446631712,2.4522011772197643,Theory
dynamic-state-memory,0.003868954063021307,2.4300724034396186,Mechanism
micro-nano-fabrication,0.003819428674494781,2.434815137859464,Method
information-thermodynamics-effects,0.0037924504736871435,2.44856418914891,Phenomenon
logical-operation-execution,0.0037463947648799945,2.4403258537666197,Phenomenon
elastomers-general,0.00369989032908581,2.459557890936424,Material
manipulation-grasping-transport-release,0.0036477727062087066,2.4357337879177345,Phenomenon
ml-classificationregression-svm-mlp-k-means-som,0.003632941319459276,2.4363685020275305,Method
electrical-response,0.003630321304615983,2.4363685020275305,Mechanism
clustering--aggregation--phase-separation,0.0035372325750459687,2.434815137859464,Phenomenon
polymer-synthesis-processing,0.0035346314364720034,2.429221250239274,Method
chemotaxis--taxis-behaviors,0.0035201114010718713,2.4250989347877816,Phenomenon
adaptation-and-learning-mechanisms,0.0034690377901294557,2.4250989347877816,Mechanism
optimization-algorithms,0.003418031911436078,2.4357337879177345,Method
conductive-polymers,0.0033711549680354204,2.4378488761404875,Material
defect-pattern-formation,0.003346847632812171,2.434815137859464,Phenomenon
modeling-cell--tissue,0.0033023997398281793,2.435002772726173,Method
structural-health-monitoring,0.0032464947255722116,2.4342626903043425,Application
dissipation-accuracy-tradeoff,0.0032441980553543403,2.44856418914891,Phenomenon
photosynthesis,0.0032100187537667103,2.4352623790055947,Phenomenon
collective-motion--phase-behavior,0.0031629843140055435,2.434815137859464,Phenomenon
piezoresistive-composites,0.0031215811753445566,2.4372504623476514,Material
graphene--2d-materials,0.0030453090365042696,2.4333453885624374,Material
composite-fabrication,0.003042204232699681,2.434815137859464,Method
dynamic-chemicalcellular-patterns,0.0029865765873021343,2.429221250239274,Phenomenon
neuromorphic-computing--hardware,0.0029477691558028444,2.4363685020275305,Application
associative-memory--pattern-completion,0.0029379716910047093,2.4363685020275305,Phenomenon
chemical-oscillators,0.002844145591751976,2.4297572995406975,Material
dna,0.0028365488651759174,2.426318729968083,Material
monte-carlo-mc,0.002814785565973953,2.4352623790055947,Method
magneto-elastic-composites,0.002773670099570939,2.452476335732343,Material
pnipam-networks-in-ionic-liquid,0.0027478086477192368,2.4443661175238662,Material
iontronic-devices,0.0027121680084587906,2.4307838873373706,Material
quantum-simulation,0.00265403876676001,2.4333018084959916,Method
finite-element-method-femfea,0.0025996383025114417,2.4333018084959916,Method
polymma-co-nba-copolymers,0.002597019917772869,2.433819123586047,Material
fe3o4-nanoparticles,0.00259490981132059,2.434815137859464,Material
thermal-stimuli-control,0.00254252736466513,2.435002772726173,Method
mechanical-input-control,0.002525992532553668,2.435002772726173,Method
other-nanoparticles,0.002505093623035063,2.4342626903043425,Material
emulsion-droplets,0.0024936808428007305,2.4327392887919066,Material
damage-self-reporting,0.0023300506539427916,2.434815137859464,Phenomenon
chemical-stimuli-control,0.002315656279852562,2.4357337879177345,Method
cellular-tissue-plasticity,0.002277858182878944,2.4297572995406975,Mechanism
feedback-control-loops,0.0022777241738637277,2.433636740846303,Method
unconventional--physical-computing,0.002277471240249917,2.4297572995406975,Application
microfluidics,0.002255143948263154,2.43986014259979,Method
3d-printing-additive-manufacturing,0.0022528044902637274,2.434815137859464,Method
langevin-dynamics,0.0021457007556851438,2.4370098544182337,Method
thermodynamic-uncertainty-relations-results,0.0021457007556851438,2.4206928677752106,Phenomenon
developmental-plasticity,0.0020448270641705638,2.4297572995406975,Mechanism
catalytic-particles,0.002043516430133007,2.4327392887919066,Material
silicon-si-and-porous-silicon-psi,0.0020415233714744267,2.4363685020275305,Material
ionic-liquids,0.001982655682946826,2.4403258537666197,Material
misc-polymers,0.001982655682946826,2.4403258537666197,Material
supervised-learning-algorithms,0.0019408908413609525,2.438371743201096,Mechanism
irreversible-state-change-memory,0.0019403211997292896,2.429724190623315,Mechanism
collective-rotation--milling,0.0019339335574147772,2.43986014259979,Phenomenon
algorithmically-generated-patterns,0.0019297210810351449,2.4403258537666197,Phenomenon
memory-storage--retrieval,0.0019241765065575733,2.4357337879177345,Phenomenon
biological-manipulation,0.0019188653326604288,2.435002772726173,Method
chemical-fuel,0.0019009401951600334,2.4403258537666197,Material
surface-topography-patterning,0.0018891630525399677,2.429221250239274,Phenomenon
ness-selection--dissipative-adaptation,0.0018608331583027304,2.4297572995406975,Mechanism
colloidal-synthesis-assembly,0.0018585199064275258,2.434815137859464,Method
discrete-nanostructure-formation,0.0018427634042607194,2.4317124087467765,Phenomenon
periodic-pattern-formation,0.001831364004454788,2.4335727027191068,Phenomenon
particle-cell-tracking-analysis,0.0017739453277819334,2.4363685020275305,Method
colloidal-particles,0.0017687293043119113,2.4303345131847722,Material
self-assembly-and-pattern-formation,0.0017634461480873797,2.4403258537666197,Phenomenon
unusual-mechanical-properties,0.0016777036848228191,2.4343132604530324,Phenomenon
ion-exchange-polymer-nafion,0.001661735418257389,2.4297572995406975,Material
thermomechanical-programming,0.0016479428431295036,2.429221250239274,Method
aqueous-electrolytes,0.0016409446213617226,2.4403258537666197,Material
plasmonics-metamaterials,0.0016358067854451573,2.4522011772197643,Material
reconfigurable-systems--modular-robotics,0.0016194196078396558,2.4297572995406975,Application
magnetic-field-theory,0.0015752454551881618,2.429221250239274,Theory
dna-directed-assembly,0.0015746059717531356,2.434815137859464,Method
topology-optimization,0.0015613003721483146,2.434815137859464,Method
metals,0.0015322629535742085,2.452476335732343,Material
unsupervised-correlation-learning-algorithms,0.0015171943480094601,2.4297572995406975,Mechanism
short-term-memory,0.001506967283241649,2.4403258537666197,Phenomenon
topological-defect-memory,0.001502643644639121,2.429724190623315,Mechanism
sensing-general,0.0015002415029716507,2.4403258537666197,Application
nanotechnology--micro-assembly,0.0014600632824106337,2.4297572995406975,Application
capillarity-assisted-particle-assembly,0.0014451253135838692,2.429221250239274,Method
enhanced-physical-properties,0.0013943359155627808,2.429221250239274,Phenomenon
chemical-pathway-network-modeling,0.001346917596274734,2.434815137859464,Method
control-theory,0.0013299576796498276,2.4206928677752106,Theory
evaporation-driven-assembly,0.001306699031563024,2.429221250239274,Method
velocity-fields,0.0012667375435549619,2.4206928677752106,Phenomenon
gel-electrophoresis,0.0012655453544159682,2.4343132604530324,Method
photodetection-qe,0.001240700967189138,2.4403258537666197,Phenomenon
conductive-filler-composites,0.001240700967189138,2.4403258537666197,Material
backpropagation-and-training,0.001234661401216446,2.4403258537666197,Method
block-copolymers,0.0012270230309758526,2.438371743201096,Material
oxides,0.0012251474091668655,2.4206928677752106,Material
bioelectricity,0.001221854119775529,2.4403258537666197,Phenomenon
dynamic-light-scattering,0.0011983738564146495,2.429221250239274,Method
evolutionary-algorithms,0.0011908318682918298,2.4443661175238662,Mechanism
reinforcement-learning,0.0011908318682918298,2.4403258537666197,Method
reinforcement-learning-algorithms,0.0011908318682918298,2.4206928677752106,Mechanism
active-matter-fluids,0.0011777572688734706,2.4317124087467765,Material
btf-interface,0.001146966019563036,2.413252750214185,Material
soft-lithography,0.0011340608144049583,2.429221250239274,Method
acoustic-response,0.001109313473314799,2.4403258537666197,Phenomenon
wave-propagation-media,0.0011038114817686312,2.4403258537666197,Material
reservoir-computing-dynamics,0.0011038114817686312,2.4403258537666197,Phenomenon
drop-casting,0.001096540204075186,2.429221250239274,Method
habituation--sensory-adaptation,0.001096540204075186,2.429221250239274,Phenomenon
flexible-electronics,0.0010941430876161855,2.429221250239274,Application
physical-structural-memory-mechanisms,0.0010936232455315842,2.4297572995406975,Mechanism
data-storage,0.0010936232455315842,2.4297572995406975,Application
molecular-force-fields,0.0010382419085045427,2.4206928677752106,Material
immune-system-adaptation,0.0010382419085045427,2.4297572995406975,Mechanism
lipid-bilayers,0.001032605441442206,2.4327392887919066,Material
artificial-cells--protocells,0.0010075991271634634,2.429724190623315,Application
acoustic-transduction,0.0009990302552405092,2.4297572995406975,Mechanism
dna-synthesis-functionalization,0.0009861305066996024,2.429221250239274,Method
bioelectronics,0.0009729063243819811,2.429221250239274,Application
organic-solvents,0.0009624032265895481,2.4206928677752106,Material
quantum-dots,0.0009480419112255035,2.4206928677752106,Material
microtubules,0.0009154736173818477,2.4297572995406975,Material
granular-media,0.000910036970445403,2.4206928677752106,Material
interfusion,0.0008797075651976094,2.429221250239274,Phenomenon
self-amputation,0.0008797075651976094,2.429221250239274,Phenomenon
nematic-lcs,0.0008787265013066126,2.4206928677752106,Material
etching,0.0008775673431721885,2.429221250239274,Method
molecular-dynamics-md,0.0008318068419032681,2.429221250239274,Method
immunological-memory,0.0008318068419032681,2.4403258537666197,Phenomenon
dissipative-particle-dynamics-dpd,0.0008318068419032681,2.429221250239274,Method
biomimetic-compartments,0.0008310083246681956,2.429221250239274,Phenomenon
active-turbulence,0.0008264942456193348,2.4437831837727324,Phenomenon
bcp-phase-separation,0.0008150968529369079,2.429221250239274,Method
x-ray-techniques,0.0008150968529369079,2.429221250239274,Method
quantum-coherent-effects,0.000814414311190007,2.429221250239274,Phenomenon
discrete-element-method-dem,0.0007952265135783853,2.429221250239274,Method
bayesian-mechanics,0.0007817237407445252,2.4403258537666197,Theory
statistical-inference-computations,0.0007817237407445252,2.4403258537666197,Phenomenon
active-inference,0.0007817237407445252,2.4403258537666197,Phenomenon
